Tracker,Status,Priority,Subject,Category,Estimated time,Description,Caratteristica di riferimento
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'java.util.Random'.""",MINOR,2min,Key: AYWItMaEUcdXEv3ulWeQ Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/utils/CTeGeraChave.java - startLine: 9;startOffset: 7;endOffset: 23;endLine: 9,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this duplicated import.""",MINOR,2min,Key: AYWItMbMUcdXEv3ulWeR Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/WSRecepcaoLote.java - startLine: 25;startOffset: 7;endOffset: 29;endLine: 25,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'java.util.Random'.""",MINOR,2min,Key: AYWItMV4UcdXEv3ulWeP Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/utils/MDFGeraChave.java - startLine: 9;startOffset: 7;endOffset: 23;endLine: 9,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1128:  ""Remove this unused import 'java.util.Random'.""",MINOR,2min,Key: AYWItMOwUcdXEv3ulWeO Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/nfe310/utils/NFGeraChave.java - startLine: 8;startOffset: 7;endOffset: 23;endLine: 8,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQwAAPwTPIF66p3R Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte/webservices/distribuicao/CTeDistribuicaoDFeSoapStub.java - startLine: 139;startOffset: 16;endOffset: 18;endLine: 139,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQdwAPwTPIF66p3E Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/consulta/CteConsultaStub.java - startLine: 88;startOffset: 104;endOffset: 117;endLine: 88,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQdwAPwTPIF66p3D Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/consulta/CteConsultaStub.java - startLine: 147;startOffset: 16;endOffset: 18;endLine: 147,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQdJAPwTPIF66p3C Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/inutilizacao/CteInutilizacaoStub.java - startLine: 88;startOffset: 116;endOffset: 133;endLine: 88,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQdJAPwTPIF66p3B Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/inutilizacao/CteInutilizacaoStub.java - startLine: 147;startOffset: 16;endOffset: 18;endLine: 147,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQcJAPwTPIF66p2- Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/recepcao/CteRecepcaoStub.java - startLine: 91;startOffset: 106;endOffset: 121;endLine: 91,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQcJAPwTPIF66p29 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/recepcao/CteRecepcaoStub.java - startLine: 150;startOffset: 16;endOffset: 18;endLine: 150,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQeGAPwTPIF66p3G Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/recepcaoOS/CteRecepcaoOSStub.java - startLine: 89;startOffset: 108;endOffset: 121;endLine: 89,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQeGAPwTPIF66p3F Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/recepcaoOS/CteRecepcaoOSStub.java - startLine: 148;startOffset: 16;endOffset: 18;endLine: 148,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQb5APwTPIF66p28 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/recepcaoevento/RecepcaoEventoStub.java - startLine: 88;startOffset: 117;endOffset: 134;endLine: 88,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQb5APwTPIF66p27 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/recepcaoevento/RecepcaoEventoStub.java - startLine: 147;startOffset: 16;endOffset: 18;endLine: 147,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQbbAPwTPIF66p26 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/retrecepcao/CteRetRecepcaoStub.java - startLine: 88;startOffset: 111;endOffset: 125;endLine: 88,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQbbAPwTPIF66p25 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/retrecepcao/CteRetRecepcaoStub.java - startLine: 147;startOffset: 16;endOffset: 18;endLine: 147,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQcpAPwTPIF66p3A Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/statusservico/CteStatusServicoStub.java - startLine: 88;startOffset: 119;endOffset: 137;endLine: 88,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQcpAPwTPIF66p2_ Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/cte300/webservices/statusservico/CteStatusServicoStub.java - startLine: 147;startOffset: 16;endOffset: 18;endLine: 147,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQH0APwTPIF66p2u Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/consulta/MDFeConsultaStub.java - startLine: 95;startOffset: 106;endOffset: 121;endLine: 95,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQH0APwTPIF66p2t Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/consulta/MDFeConsultaStub.java - startLine: 154;startOffset: 16;endOffset: 18;endLine: 154,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQKIAPwTPIF66p24 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/consultanaoencerrado/MDFeConsNaoEncStub.java - startLine: 95;startOffset: 119;endOffset: 133;endLine: 95,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQKIAPwTPIF66p23 Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/consultanaoencerrado/MDFeConsNaoEncStub.java - startLine: 154;startOffset: 16;endOffset: 18;endLine: 154,Maintenance (Code Smells)
To-Do,New,Normal,"java:S3776:  ""Refactor this method to reduce its Cognitive Complexity from 16 to the 15 allowed.""",CRITICAL,6min,Key: AYVAEQIMAPwTPIF66p2w Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/recepcao/MDFeRecepcaoStub.java - startLine: 95;startOffset: 107;endOffset: 123;endLine: 95,Maintenance (Code Smells)
To-Do,New,Normal,"java:S1066:  ""Merge this if statement with the enclosing one.""",MAJOR,5min,Key: AYVAEQIMAPwTPIF66p2v Path: com.github.wmixvideo:nfe3:src/main/java/com/fincatto/documentofiscal/mdfe3/webservices/recepcao/MDFeRecepcaoStub.java - startLine: 154;startOffset: 16;endOffset: 18;endLine: 154,Maintenance (Code Smells)
